품목명,평균가격,최고가격,최저가격,등급,일자
사과 후지_15,15866.666666666666,21666.666666666668,10066.666666666666,중,200308
사과 아오리_15,7833.333333333333,11708.333333333334,3958.3333333333335,하,200308
사과 홍로_15,11187.5,16375.0,6000.0,하,200308
사과 후지_15,7166.666666666667,10066.666666666666,4266.666666666667,하,200308
사과 아오리_15,32833.333333333336,38666.666666666664,27000.0,특,200309
사과 양광_15,46000.0,50000.0,42000.0,특,200309
사과 홍로_15,64450.0,80450.0,48450.0,특,200309
사과 홍로_5,41062.5,46000.0,36125.0,특,200309
사과 홍월_10,21833.333333333332,23666.666666666668,20000.0,특,200309
사과 홍월_15,37966.666666666664,43266.666666666664,32666.666666666668,특,200309
사과 후지_10,49171.0,70000.0,42000.0,특,200309
사과 후지_15,16000.0,16000.0,16000.0,특,200309
사과 후지_5,18726.0,20000.0,17000.0,특,200309
사과 아오리_15,21083.333333333332,27333.333333333332,14833.333333333334,상,200309
사과 양광_15,34833.333333333336,40833.333333333336,28833.333333333332,상,200309
사과 홍로_15,36050.0,48300.0,23800.0,상,200309
사과 홍로_5,28062.5,36125.0,20000.0,상,200309
사과 홍월_10,15000.0,20000.0,10000.0,상,200309
사과 홍월_15,25733.333333333332,32133.333333333332,19333.333333333332,상,200309
사과 후지_10,29008.0,42000.0,22000.0,상,200309
사과 후지_15,14083.0,16000.0,10000.0,상,200309
사과 후지_5,17000.0,17000.0,17000.0,상,200309
사과 아오리_15,12083.333333333334,14833.333333333334,9333.333333333334,중,200309
사과 양광_15,22916.666666666668,28500.0,17333.333333333332,중,200309
사과 홍로_15,18250.0,23750.0,12750.0,중,200309
사과 홍로_5,15500.0,20000.0,11000.0,중,200309
사과 홍월_10,7500.0,10000.0,5000.0,중,200309
사과 홍월_15,15200.0,19333.333333333332,11066.666666666666,중,200309
사과 후지_10,16545.0,22000.0,11000.0,중,200309
사과 후지_15,7361.0,10000.0,6000.0,중,200309
사과 후지_5,16048.0,17000.0,15000.0,중,200309
사과 아오리_15,6500.0,9333.333333333334,3666.6666666666665,하,200309
사과 양광_15,13166.666666666666,17333.333333333332,9000.0,하,200309
사과 홍로_15,8861.111111111111,12888.888888888889,4833.333333333333,하,200309
사과 홍로_5,7375.0,11000.0,3750.0,하,200309
사과 홍월_10,4000.0,5000.0,3000.0,하,200309
사과 홍월_15,8133.333333333333,11066.666666666666,5200.0,하,200309
사과 후지_10,8726.0,11000.0,5000.0,하,200309
사과 후지_15,4688.0,6000.0,3000.0,하,200309
사과 후지_5,15000.0,15000.0,15000.0,하,200309
사과 양광_15,49692.307692307695,54307.692307692305,45076.92307692308,특,200310
사과 홍로_15,43750.0,50000.0,37500.0,특,200310
사과 홍월_15,39625.0,42750.0,36500.0,특,200310
사과 후지_10,37365.0,48000.0,35000.0,특,200310
사과 후지_15,40736.84210526316,47578.94736842105,33894.73684210526,특,200310
사과 후지_5,18726.0,20000.0,17000.0,특,200310
사과 양광_15,37807.692307692305,44846.153846153844,30769.23076923077,상,200310
사과 홍로_15,31750.0,37500.0,26000.0,상,200310
사과 홍월_15,30375.0,36500.0,24250.0,상,200310
사과 후지_10,26895.0,35000.0,23000.0,상,200310
사과 후지_15,29241.21052631579,33789.47368421053,24578.947368421053,상,200310
사과 후지_5,17000.0,17000.0,17000.0,상,200310
사과 양광_15,25538.46153846154,30769.23076923077,20307.69230769231,중,200310
사과 홍로_15,21250.0,26000.0,16500.0,중,200310
사과 홍월_15,20500.0,24250.0,16750.0,중,200310
사과 후지_10,17473.0,23000.0,11000.0,중,200310
사과 후지_15,20203.21052631579,24526.315789473683,15947.368421052632,중,200310
사과 후지_5,16048.0,17000.0,15000.0,중,200310
사과 양광_15,14500.0,20307.69230769231,8692.307692307691,하,200310
사과 홍로_15,12750.0,16500.0,9000.0,하,200310
사과 홍월_15,12375.0,16750.0,8000.0,하,200310
사과 후지_10,8509.0,11000.0,5000.0,하,200310
사과 후지_15,10457.263157894737,15947.368421052632,4947.368421052632,하,200310
사과 후지_5,15000.0,15000.0,15000.0,하,200310
사과 후지_10,35597.0,55000.0,31000.0,특,200311
사과 후지_15,48804.34782608696,58304.34782608696,39304.34782608696,특,200311
사과 후지_5,18726.0,20000.0,17000.0,특,200311
사과 후지_10,24659.0,31000.0,19000.0,상,200311
사과 후지_15,31851.434782608696,39173.913043478264,24434.782608695652,상,200311
사과 후지_5,17000.0,17000.0,17000.0,상,200311
사과 후지_10,15566.0,19000.0,12000.0,중,200311
사과 후지_15,18407.0,24434.782608695652,12434.782608695652,중,200311
사과 후지_5,16048.0,17000.0,15000.0,중,200311
사과 후지_10,8392.0,12000.0,5000.0,하,200311
사과 후지_15,8008.173913043478,12434.782608695652,3565.217391304348,하,200311
사과 후지_5,15000.0,15000.0,15000.0,하,200311
사과 후지_10,33250.0,37000.0,30000.0,특,200312
사과 후지_15,55288.46153846154,66192.30769230769,44384.61538461538,특,200312
사과 후지_5,18726.0,20000.0,17000.0,특,200312
사과 후지_10,22761.0,30000.0,18500.0,상,200312
사과 후지_15,35022.42307692308,44192.307692307695,25769.23076923077,상,200312
사과 후지_5,17000.0,17000.0,17000.0,상,200312
사과 후지_10,15205.0,18500.0,10500.0,중,200312
사과 후지_15,19956.19230769231,25730.76923076923,14230.76923076923,중,200312
사과 후지_5,16048.0,17000.0,15000.0,중,200312
사과 후지_10,8425.0,10500.0,6000.0,하,200312
사과 후지_15,9007.23076923077,14230.76923076923,3769.230769230769,하,200312
사과 후지_5,15000.0,15000.0,15000.0,하,200312
사과 후지_10,36128.0,40000.0,34000.0,특,200401
