품목명,평균가격,최고가격,최저가격,품목코드,등급,일자
배추_10.0,4263.222222222223,5222.222222222223,3394.4444444444443,1.001e+17,하,200305
배추_5.0,1658409.0909090908,2080454.5454545454,1236363.6363636365,1.001e+17,하,200305
쌈배추_1.0,3600.0,3600.0,3600.0,1.00108e+17,하,200305
쌈배추_8.0,7652.0,10000.0,7500.0,1.00108e+17,하,200305
배추_10.0,9356.0,9400.0,9300.0,1.001e+17,특,200306
배추_5.0,2312380.9523809524,2646190.476190476,1978571.4285714286,1.001e+17,특,200306
쌈배추_1.0,4300.0,4300.0,4300.0,1.00108e+17,특,200306
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200306
배추_10.0,8311.0,9300.0,7700.0,1.001e+17,상,200306
배추_5.0,1565476.1904761905,1934761.9047619049,1196190.4761904762,1.001e+17,상,200306
쌈배추_1.0,4203.0,4300.0,4100.0,1.00108e+17,상,200306
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200306
배추_10.0,7056.0,7700.0,6000.0,1.001e+17,중,200306
배추_5.0,1011190.4761904762,1194761.9047619049,827619.0476190476,1.001e+17,중,200306
쌈배추_1.0,4004.0,4100.0,4000.0,1.00108e+17,중,200306
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200306
배추_10.0,4738.0,6000.0,3600.0,1.001e+17,하,200306
배추_5.0,648333.3333333334,827619.0476190476,469047.61904761905,1.001e+17,하,200306
쌈배추_1.0,3893.0,4000.0,3600.0,1.00108e+17,하,200306
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200306
배추_10.0,9200.0,9200.0,9200.0,1.001e+17,특,200307
배추_5.0,3576200.0,3840400.0,3312000.0,1.001e+17,특,200307
쌈배추_1.0,4331.0,4400.0,4300.0,1.00108e+17,특,200307
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200307
배추_10.0,8821.0,9200.0,8100.0,1.001e+17,상,200307
배추_5.0,2748000.0,3209200.0,2286800.0,1.001e+17,상,200307
쌈배추_1.0,3890.0,4300.0,3800.0,1.00108e+17,상,200307
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200307
배추_10.0,7397.0,8100.0,5800.0,1.001e+17,중,200307
배추_5.0,1931800.0,2281200.0,1582400.0,1.001e+17,중,200307
쌈배추_1.0,3740.0,3800.0,3700.0,1.00108e+17,중,200307
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200307
배추_10.0,5056.0,5600.0,4300.0,1.001e+17,하,200307
배추_5.0,1237200.0,1575600.0,898800.0,1.001e+17,하,200307
쌈배추_1.0,3658.0,3700.0,3600.0,1.00108e+17,하,200307
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200307
배추_5.0,3648958.3333333335,3914166.6666666665,3383750.0,1.001e+17,특,200308
배추_5.0,2835416.6666666665,3323333.3333333335,2347500.0,1.001e+17,상,200308
배추_5.0,2018541.6666666667,2342916.6666666665,1694166.6666666667,1.001e+17,중,200308
배추_5.0,1299375.0,1692083.3333333333,906666.6666666666,1.001e+17,하,200308
배추_10.0,9300.0,9300.0,9300.0,1.001e+17,특,200309
배추_5.0,4366250.0,4818000.0,3914500.0,1.001e+17,특,200309
쌈배추_1.0,4326.0,4400.0,4300.0,1.00108e+17,특,200309
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200309
배추_10.0,8480.0,9300.0,7800.0,1.001e+17,상,200309
배추_5.0,3179750.0,3794500.0,2565000.0,1.001e+17,상,200309
쌈배추_1.0,3961.0,4300.0,3700.0,1.00108e+17,상,200309
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200309
배추_10.0,6950.0,7800.0,6000.0,1.001e+17,중,200309
배추_5.0,2184000.0,2565000.0,1803000.0,1.001e+17,중,200309
쌈배추_1.0,3590.0,3700.0,3500.0,1.00108e+17,중,200309
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200309
배추_10.0,4739.0,6000.0,3600.0,1.001e+17,하,200309
배추_5.0,1366750.0,1802000.0,931500.0,1.001e+17,하,200309
쌈배추_1.0,3465.0,3500.0,3300.0,1.00108e+17,하,200309
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200309
배추_10.0,9174.0,9200.0,9100.0,1.001e+17,특,200310
배추_5.0,5176458.333333333,5670000.0,4682916.666666667,1.001e+17,특,200310
쌈배추_1.0,4988.0,5000.0,4900.0,1.00108e+17,특,200310
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200310
배추_10.0,8464.0,9100.0,7600.0,1.001e+17,상,200310
배추_5.0,4156875.0,4609583.333333333,3704166.6666666665,1.001e+17,상,200310
쌈배추_1.0,4670.0,4900.0,4500.0,1.00108e+17,상,200310
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200310
배추_10.0,6851.0,7600.0,5500.0,1.001e+17,중,200310
배추_5.0,3329375.0,3704166.6666666665,2954583.3333333335,1.001e+17,중,200310
쌈배추_1.0,4324.0,4500.0,4100.0,1.00108e+17,중,200310
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200310
배추_10.0,4640.0,5500.0,3300.0,1.001e+17,하,200310
배추_5.0,2377500.0,2954583.3333333335,1800416.6666666667,1.001e+17,하,200310
쌈배추_1.0,3944.0,4100.0,2700.0,1.00108e+17,하,200310
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200310
배추_10.0,9200.0,9200.0,9200.0,1.001e+17,특,200311
배추_5.0,3633636.3636363638,3948636.3636363638,3318636.3636363638,1.001e+17,특,200311
쌈배추_1.0,4856.0,4900.0,4800.0,1.00108e+17,특,200311
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200311
배추_10.0,8633.0,9200.0,8000.0,1.001e+17,상,200311
배추_5.0,2970681.8181818184,3288181.8181818184,2653181.8181818184,1.001e+17,상,200311
쌈배추_1.0,4681.0,4800.0,4500.0,1.00108e+17,상,200311
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200311
배추_10.0,7056.0,8000.0,5600.0,1.001e+17,중,200311
배추_5.0,2435681.8181818184,2653181.8181818184,2218181.8181818184,1.001e+17,중,200311
쌈배추_1.0,4500.0,4500.0,4500.0,1.00108e+17,중,200311
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200311
배추_10.0,4831.0,5600.0,3700.0,1.001e+17,하,200311
배추_5.0,1834090.9090909092,2218181.8181818184,1450000.0,1.001e+17,하,200311
쌈배추_1.0,4187.0,4500.0,3700.0,1.00108e+17,하,200311
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200311
배추_10.0,8918.0,9000.0,8800.0,1.001e+17,특,200312
배추_5.0,2086400.0,2224000.0,1948800.0,1.001e+17,특,200312
쌈배추_1.0,4397.0,4400.0,4300.0,1.00108e+17,특,200312
쌈배추_8.0,21000.0,21000.0,21000.0,1.00108e+17,특,200312
배추_10.0,8234.0,8800.0,7800.0,1.001e+17,상,200312
배추_5.0,1641600.0,1901600.0,1381600.0,1.001e+17,상,200312
쌈배추_1.0,3941.0,4300.0,3600.0,1.00108e+17,상,200312
쌈배추_8.0,17504.0,21000.0,16000.0,1.00108e+17,상,200312
배추_10.0,6924.0,7800.0,5200.0,1.001e+17,중,200312
배추_5.0,1210400.0,1378800.0,1042000.0,1.001e+17,중,200312
쌈배추_1.0,3455.0,3600.0,3300.0,1.00108e+17,중,200312
쌈배추_8.0,14401.0,16000.0,14000.0,1.00108e+17,중,200312
배추_10.0,4626.0,5200.0,3200.0,1.001e+17,하,200312
배추_5.0,871400.0,1041600.0,701200.0,1.001e+17,하,200312
쌈배추_1.0,3139.0,3300.0,3100.0,1.00108e+17,하,200312
쌈배추_8.0,12933.0,14000.0,10000.0,1.00108e+17,하,200312
배추_10.0,3682.4285714285716,3807.1428571428573,3557.1428571428573,1.001e+17,특,200401
배추_5.0,1580714.2857142857,1659523.8095238095,1501904.761904762,1.001e+17,특,200401
쌈배추_1.0,3600.0,3600.0,3600.0,1.00108e+17,특,200401
쌈배추_8.0,22000.0,22000.0,22000.0,1.00108e+17,특,200401
배추_10.0,2240.25,2541.0,1972.5,1.001e+17,상,200401
배추_5.0,1350227.2727272727,1471818.1818181819,1228636.3636363635,1.001e+17,상,200401
쌈배추_1.0,3120.0,3600.0,2900.0,1.00108e+17,상,200401
쌈배추_8.0,21857.0,22000.0,21000.0,1.00108e+17,상,200401
배추_10.0,1899.7857142857142,2225.0,1567.857142857143,1.001e+17,중,200401
배추_5.0,1110000.0,1225000.0,995000.0,1.001e+17,중,200401
쌈배추_1.0,2851.0,2900.0,2800.0,1.00108e+17,중,200401
