품목명,평균가격,최고가격,최저가격,품목코드,등급,일자
수박(일반)_8.0,28842.0,30000.0,28000.0,8.0101e+16,특,200305
수박(일반)_1.0,2444.0,2769.0,2200.0,8.0101e+16,상,200305
수박(일반)_10.0,24994.0,30000.0,22000.0,8.0101e+16,상,200305
수박(일반)_8.0,21900.0,28000.0,18000.0,8.0101e+16,상,200305
수박_1.0,1599.7727272727273,2080.0,1119.5454545454545,8.01e+16,상,200305
수박_6.0,8186.363636363636,10595.454545454546,5777.272727272727,8.01e+16,상,200305
수박_8.0,10304.545454545454,12250.0,8359.09090909091,8.01e+16,상,200305
수박(일반)_1.0,1797.0,2200.0,1444.0,8.0101e+16,중,200305
수박(일반)_10.0,17195.0,22000.0,14000.0,8.0101e+16,중,200305
수박(일반)_8.0,15050.0,18000.0,12000.0,8.0101e+16,중,200305
수박_1.0,870.6818181818181,1119.5454545454545,621.8181818181819,8.01e+16,중,200305
수박_6.0,4627.272727272727,5777.272727272727,3477.2727272727275,8.01e+16,중,200305
수박_8.0,7270.454545454545,8359.09090909091,6181.818181818182,8.01e+16,중,200305
수박(일반)_1.0,1174.0,1444.0,667.0,8.0101e+16,하,200305
수박(일반)_10.0,11316.0,14000.0,6000.0,8.0101e+16,하,200305
수박(일반)_8.0,9408.0,12000.0,6000.0,8.0101e+16,하,200305
수박_1.0,386.8181818181818,621.8181818181819,151.8181818181818,8.01e+16,하,200305
수박_6.0,2197.7272727272725,3477.2727272727275,918.1818181818181,8.01e+16,하,200305
수박_8.0,4581.818181818182,6181.818181818182,2981.818181818182,8.01e+16,하,200305
수박(일반)_1.0,3146.0,3182.0,3077.0,8.0101e+16,특,200306
수박(일반)_10.0,35200.0,37000.0,32000.0,8.0101e+16,특,200306
수박(일반)_8.0,27143.0,30000.0,26000.0,8.0101e+16,특,200306
수박_1.0,1629.1176470588234,1958.235294117647,1300.0,8.01e+16,특,200306
수박_6.0,7663.1578947368425,8668.421052631578,6657.894736842105,8.01e+16,특,200306
수박_8.0,12984.21052631579,15052.631578947368,10915.78947368421,8.01e+16,특,200306
복수박_5.0,7375.0,8550.0,6200.0,8.0102e+16,상,200306
수박(일반)_1.0,2519.0,3077.0,2364.0,8.0101e+16,상,200306
수박(일반)_10.0,27321.0,32000.0,24000.0,8.0101e+16,상,200306
수박(일반)_8.0,23495.0,26000.0,20000.0,8.0101e+16,상,200306
수박_1.0,1088.095238095238,1402.3809523809523,773.8095238095239,8.01e+16,상,200306
수박_6.0,4861.9047619047615,6142.857142857143,3580.9523809523807,8.01e+16,상,200306
수박_8.0,7840.476190476191,9019.047619047618,6661.9047619047615,8.01e+16,상,200306
복수박_5.0,5400.0,6200.0,4600.0,8.0102e+16,중,200306
수박(일반)_1.0,2116.0,2364.0,1800.0,8.0101e+16,중,200306
수박(일반)_10.0,20294.0,24000.0,15000.0,8.0101e+16,중,200306
수박(일반)_8.0,16345.0,20000.0,11000.0,8.0101e+16,중,200306
수박_1.0,585.2380952380952,767.1428571428571,403.3333333333333,8.01e+16,중,200306
수박_6.0,2592.8571428571427,3580.9523809523807,1604.7619047619048,8.01e+16,중,200306
수박_8.0,5626.190476190476,6642.857142857143,4609.523809523809,8.01e+16,중,200306
복수박_5.0,3800.0,4600.0,3000.0,8.0102e+16,하,200306
수박(일반)_1.0,1303.0,1800.0,667.0,8.0101e+16,하,200306
수박(일반)_10.0,12676.0,15000.0,6000.0,8.0101e+16,하,200306
수박(일반)_8.0,9154.0,11000.0,5000.0,8.0101e+16,하,200306
수박_1.0,249.52380952380952,403.3333333333333,95.71428571428571,8.01e+16,하,200306
수박_6.0,1061.904761904762,1580.952380952381,542.8571428571429,8.01e+16,하,200306
수박_8.0,3252.3809523809523,4571.428571428572,1933.3333333333333,8.01e+16,하,200306
수박(일반)_1.0,3038.0,3214.0,2909.0,8.0101e+16,특,200307
수박(일반)_10.0,31652.0,32000.0,31000.0,8.0101e+16,특,200307
수박(일반)_8.0,30034.0,31000.0,27000.0,8.0101e+16,특,200307
수박_1.0,1446.2,1667.2,1225.2,8.01e+16,특,200307
수박_6.0,7548.0,8456.0,6640.0,8.01e+16,특,200307
수박_8.0,10896.0,11740.0,10052.0,8.01e+16,특,200307
복수박_5.0,8250.0,9400.0,7100.0,8.0102e+16,상,200307
수박(일반)_1.0,2336.0,2909.0,2000.0,8.0101e+16,상,200307
수박(일반)_10.0,22227.0,31000.0,18000.0,8.0101e+16,상,200307
수박(일반)_8.0,19744.0,27000.0,17000.0,8.0101e+16,상,200307
수박_1.0,1005.2,1213.6,796.8,8.01e+16,상,200307
수박_6.0,5196.0,6428.0,3964.0,8.01e+16,상,200307
수박_8.0,8496.0,9628.0,7364.0,8.01e+16,상,200307
복수박_5.0,6090.0,7060.0,5120.0,8.0102e+16,중,200307
수박(일반)_1.0,1860.0,2000.0,1417.0,8.0101e+16,중,200307
수박(일반)_10.0,16431.0,18000.0,14000.0,8.0101e+16,중,200307
수박(일반)_8.0,14547.0,17000.0,11000.0,8.0101e+16,중,200307
수박_1.0,596.2,795.6,396.8,8.01e+16,중,200307
수박_6.0,2864.0,3940.0,1788.0,8.01e+16,중,200307
수박_8.0,5960.0,7324.0,4596.0,8.01e+16,중,200307
복수박_5.0,3840.0,4960.0,2720.0,8.0102e+16,하,200307
수박(일반)_1.0,1019.0,1417.0,714.0,8.0101e+16,하,200307
수박(일반)_10.0,9513.0,14000.0,7000.0,8.0101e+16,하,200307
수박(일반)_8.0,8116.0,11000.0,6000.0,8.0101e+16,하,200307
수박_1.0,242.8,394.4,91.2,8.01e+16,하,200307
수박_6.0,1124.0,1780.0,468.0,8.01e+16,하,200307
수박_8.0,3186.0,4548.0,1824.0,8.01e+16,하,200307
수박_1.0,1854.1666666666667,2114.1666666666665,1594.1666666666667,8.01e+16,특,200308
수박_10.0,16142.857142857143,17142.85714285714,15142.857142857143,8.01e+16,특,200308
수박_6.0,10161.111111111111,11344.444444444445,8977.777777777777,8.01e+16,특,200308
수박_8.0,12802.777777777777,13527.777777777777,12077.777777777777,8.01e+16,특,200308
복수박_5.0,6875.0,7958.333333333333,5791.666666666667,8.0102e+16,상,200308
